name,matched_airport_name,matched_city,matched_country,iata,lat,lon,match_method,role
CHARLOTTE,Charlotte/Douglas International Airport,Charlotte,US,CLT,35.213187,-80.951379,city_match_single,destination
CHATTANOOGA,Lovell Field,Chattanooga,US,CHA,35.035194,-85.203556,city_match_single,destination
CHENGDU,Chengdu Shuangliu International Airport,Chengdu,CN,CTU,30.5785,103.947,city_match_single,destination
CHENGDU TIANFU,Chengdu Shuangliu International Airport,Chengdu,CN,CTU,30.5785,103.947,city_multi_noqualifier_guess,destination
CHENNAI,Chennai International Airport,Chennai,IN,MAA,12.99001,80.1693,city_match_single,destination
CHICAGO (O'HARE),Chicago O'Hare International Airport,Chicago,US,ORD,41.97694,-87.90815,city_multi_qualifier(0.59),destination
CHISINAU (KISHINEV),Chisinau International Airport,Chisinau,MD,KIV,46.9277,28.9309,manual_override,destination
CHISINAU INTERNATIONAL,Chisinau International Airport,Chisinau,MD,KIV,46.9277,28.9309,manual_correction,destination
CHONGQING JIANGBEI INTERNATIONAL,Chongqing Jiangbei International Airport,Chongqing,CN,CKG,29.7192,106.642,city_multi_noqualifier_guess,destination
CINCINNATI,Cincinnati Municipal/Lunken Field,Cincinnati,US,LUK,39.102977,-84.417606,city_match_single,destination
CITY OF DERRY (EGLINTON),City of Derry Airport,Derry,GB,LDY,55.0428,-7.16111,city_match_single,destination
CLERMONT FERRAND,Clermont-Ferrand Auvergne Airport,Clermont-Ferrand/Auvergne,FR,CFE,45.7867,3.16917,city_match_single,destination
CLUJ NAPOCA,Cluj-Napoca International Airport,Cluj-Napoca,RO,CLJ,46.7852,23.6862,city_match_single,destination
COCHIN,Cochin International Airport,Cochin,IN,COK,10.152,76.4019,city_match_single,destination
COLOGNE BONN,Cologne Bonn Airport,Cologne,DE,CGN,50.8659,7.14274,city_multi_noqualifier_guess,destination
COLOMBO,Bandaranaike International Apt Colombo Airport,Colombo,LK,CMB,7.18076,79.8841,city_multi_noqualifier_guess,destination
COMISO,Comiso Airport Vincenzo Magliocco,Comiso,IT,CIY,36.9946,14.60718,city_match_single,destination
CONAKRY,Conakry Airport,Conakry,GN,CKY,9.57689,-13.612,city_match_single,destination
CONSTANTA,Mihail Kogalniceanu International Airport,Constanta,RO,CND,44.3622,28.4883,city_match_single,destination
COPENHAGEN,Copenhagen Kastrup Airport,Copenhagen,DK,CPH,55.6179,12.656,city_multi_noqualifier_guess,destination
CORFU,Corfu International Airport (Ioannis Kapodistrias),Corfu,GR,CFU,39.6019,19.9117,manual_override,destination
CORK,Cork Airport,Cork,IE,ORK,51.8413,-8.49111,city_match_single,destination
CRAIOVA,Craiova Airport,Craiova,RO,CRA,44.3181,23.8886,city_match_single,destination
CUKUROVA,Adana Airport,Adana,TR,ADA,36.9822,35.2804,city_multi_noqualifier_guess,destination
CURACAO,Hato International Airport,Willemstad,CW,CUR,12.1889,-68.9598,manual_override,destination
